,BILL_NO,BILL_ID,PUBL_PROPOSER,BILL_NAME,DESCRIPTION,LINK_URL,VOTE_DATE,VOTE_RESULT,RST_PROPOSER
0,2100014,PRC_K2E0H0I6U0X1T1J1Y3J9R1K8R0L6P0,"권칠승,김민기,김병욱,김영주,김철민,박광온,박완주,박정,박홍근,신동근,안호영,조승래",국회법 일부개정법률안," 제안이유 및 주요내용 고위공직자범죄수사처를 설치하고 고위공직자범죄수사처장을 인사청문회를 거쳐 임명하도록 하는 내용으로 「고위공직자범죄수사처 설치 및 운영에 관한 법률」이 제정(법률 제16863호, 2020. 1. 14. 공포, 7. 15. 시행)됨에 따라 국회에서 고위공직자범죄수사처를 소관하는 상임위원회를 법제사법위원회로 하고, 인사청문의 대상이 되는 공직후보자에 고위공직자범죄수사처장을 추가하려는 것임(안 제37조제1항제2호 및 제65조의2제2항제1호). 참고사항 이 법률안은 「인사청문회법 일부개정법률안 」(의안번호 제15호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정 의결되는 경우에는 이에 맞추어 조정되어야 할 것임. ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2E0H0I6U0X1T1J1Y3J9R1K8R0L6P0,2020-08-04,수정가결,백혜련
1,2100015,PRC_X2W0H0M6E0E1J1B1E4S1A2R6R5V1M4,"권칠승,김민기,김병욱,김영주,김철민,박광온,박완주,박정,박홍근,신동근,안호영,조승래",인사청문회법 일부개정법률안," 제안이유 및 주요내용 고위공직자범죄수사처를 설치하고 고위공직자범죄수사처장을 인사청문회를 거쳐 임명하도록 하는 내용으로 「고위공직자범죄수사처 설치 및 운영에 관한 법률」이 제정(법률 제16863호, 2020. 1. 14. 공포, 7. 15. 시행)됨에 따라, 인사청문 절차상 국회가 법정기간 내에 공직후보자에 대한 인사청문회를 마치지 못하여 대통령 등이 인사청문경과보고서를 송부하여 줄 것을 국회에 요청할 수 있는 공직후보자 대상에 고위공직자범죄수사처장을 추가하려는 것임(안 제6조제3항). 참고사항 이 법률안은 백혜련의원이 대표발의한 「국회법 일부개정법률안」(의안번호 제14호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결되는 경우에는 이에 맞추어 조정되어야 할 것임. ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2W0H0M6E0E1J1B1E4S1A2R6R5V1M4,2020-08-04,수정가결,백혜련
2,2100043,PRC_H2H0M0X6Y0R1Q1O7A1S1Y2T2M8H0W1,"도종환,박광온,박정,백혜련,송옥주,신동근,우상호,임오경,전해철,조정식,한준호,홍익표",예술인의 지위 및 권리보장에 관한 법률안," 제안이유 우리나라의 예술관련 법령은 그간 장르 중심의 지원 근거와 체계를 마련하는 내용으로 집중되어 왔고, 상대적으로 예술인의 지위와 권리 등을 보장하기 위한 노력에는 부족함이 있었음. 그러한 상황에서 이른바 ‘블랙리스트 사태’와 ‘예술계 미투 운동’ 등 예술인의 지위와 권리를 침해하는 사태가 연이어 발생하여 많은 예술인들이 직·간접적 피해를 본바, 불공정한 예술 환경과 사회보장의 사각지대에 놓인 예술인의 삶을 구제할 수 있는 법령을 제정해야 한다는 예술계의 요구가 그 어느 때보다 높은 상황임. 따라서, ‘예술표현의 자유’와 ‘예술인의 직업적 권리 보호’를 법률로 규율하여 예술인에 대한 권리침해 행위를 방지하고, 성평등한 예술환경을 조성하는 한편, 폐쇄적 예술계 환경과 권리구제 사각지대에 놓인 예술인에게 실효적인 피해구제 방안을 마련하고자 하는 것임. 주요내용 가. 예술표현의 자유는 보호되어야 하고, 예술인은 노동과 복지에 있어 다른 직업과 동등한 지위를 보장받으며 성평등한 예술환경에서 활동할 수 있는 권리를 갖도록 함(안 제3조). 나. 국가와 지방자치단체는 예술창작과 표현의 자유를 보호하고 예술인의 직업적 권리를 신장하여야 하며, 예술을 검열하거나(안 제5조), 정당한 이유 없이 예술 활동의 성과를 전파하는 활동을 방해하는 행위를 하여서는 아니 되고(안 제7조), 예술지원에 있어 투명성·공정성 등을 확보해야 하며(안 제11조), 예술인 권리보호를 위한 지원사업 등에 필요한 지원을 할 수 있도록 함(안 제15조). 다. 예술인은 예술 활동에 있어 성별에 따른 차별 등이 없이 인권을 동등하게 보장받고 성희롱·성폭력으로부터 보호받을 권리가 있으며(안 제16조), 문화체육관광부장관은 예술인에 대한 성희롱·성폭력을 방지하기 위하여 대책을 수립하고(안 제17조), 피해구제 지원기관을 지정(안 제18조)하는 한편, 2년마다 성희롱·성폭력에 관한 실태조사를 실시하고 그 결과를 발표하도록 함(안 제19조). 라. 예술인의 권리구제를 위해 문화체육관광부 소속으로 예술인권리보장위원회(안 제20조)와 예술인 성희롱·성폭력피해구제위원회를 두고(안 제27조), 예술인보호관을 통해 예술인권리침해행위와 성희롱·성폭력행위 사건을 담당하도록 함(안 제29조). 마. 예술인권리침해 및 성희롱·성폭력행위가 발생한 경우에는 문화체육관광부장관에게 신고할 수 있도록 하고(안 제30조), 문화체육관광부장관은 예술인 보호관을 통해 신고된 내용을 조사하여, 권리보장위원회·피해구제위원회 등을 통해 권리침해 및 성희롱·성폭력 행위 등이 확인된 경우 관련자에 대한 징계·시정권고·시정명령·재정지원의 중단 및 피해자에 대한 구제조치를 시행할 수 있도록 함(안 제34조부터 제37조까지, 제40조). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2H0M0X6Y0R1Q1O7A1S1Y2T2M8H0W1,2021-08-31,수정가결,김영주
3,2100101,PRC_D2P0C0P6R0Y3T1I7Y2Y4A5R6V1V5K3,"고용진,김교흥,김병욱,박정,송석준,안규백,이개호,이상직,전해철",금융산업의 구조개선에 관한 법률 일부개정법률안," 제안이유 2008년 글로벌 금융위기 당시 대형금융회사의 부실로 인하여 금융시스템의 심각한 혼란이 초래된 후 한국을 포함한 24개 국가가 회원국으로 참여하고 있는 국제기구인 금융안정위원회(Financial Stability Board)는 대형금융회사의 부실 발생 시 신속하고 효과적으로 대응할 수 있도록 ‘시스템적 중요 금융기관(Systemically Important Financial Institution)’에 대한 정상화·정리(Recovery ▒ Resolution)체계를 마련하여 이를 회원국에 도입할 것을 권고하였으며, 미국·EU 등 주요국들은 관련 제도를 이미 도입하여 입법화하였음. 한편, 우리나라의 경우 주요국에 비하여 시스템적 중요 금융기관의 정상화·정리절차가 법·제도상 미흡하여 금융기관의 정상화·정리체계가 정착되지 못하고 있을 뿐만 아니라, ‘기한 전 계약 종료권 행사의 일시정지 제도’가 도입되지 않아 금융기관에 대한 정상화·정리절차가 개시될 경우 시장불안이 가중될 우려가 있음. 이에 국제 기준에 부합하는 대형금융회사 정리체계를 도입함으로써 국내 대형금융회사 정리제도의 국제적 정합성을 확보하고 금융시스템의 안정성을 제고하고자 함. 주요내용 가. 시스템적 중요 금융기관의 선정 근거를 마련함(안 제9조의2 신설). 나. 시스템적 중요 금융기관으로 하여금 경영 위기상황 시 건전성을 회복하기 위한 자체정상화계획을 작성하여 금융감독원장에게 제출하도록 하고, 금융감독원장이 자체정상화계획에 대한 평가보고서를 작성하여 평가위원회에 제출하도록 함(안 제9조의3 및 제9조의4 신설). 다. 예금보험공사로 하여금 시스템적 중요 금융기관이 자체적으로 건전성을 회복하기 불가능한 경우 해당 시스템적 중요 금융기관을 체계적으로 정리하기 위한 부실정리계획을 수립하여 평가위원회에 제출하도록 하고, 필요한 경우 금융감독원장에게 시스템적 중요 금융기관과 관련된 자료의 제공을 요청할 수 있도록 함(안 제9조의5 신설). 라. 금융위원회에 자체정상화계획 및 부실정리계획의 심의 등을 위하여 평가위원회를 두고, 평가위원회가 자체정상화계획 및 부실정리계획을 심의하여 그 결과를 금융위원회에 보고하도록 하며, 심의 결과를 보고받은 후 금융위원회가 계획의 승인 여부를 결정하되 해당 계획이 미흡하다고 판단되는 경우 이를 승인하지 아니하고 수정 제출을 요구할 수 있도록 함(안 제9조의6 및 제9조의7 신설). 마. 금융위원회가 시스템적 중요 금융기관의 정리 시 예상되는 장애요인의 해소를 시스템적 중요 금융기관에 요구할 수 있도록 함(안 제9조의8 신설). 바. 자체정상화계획에 기재된 경영 위기상황이 발생한 경우 시스템적 중요 금융기관은 자체정상화계획에 따른 조치를 이행하여야 하며, 조치를 하지 아니하거나 조치가 미흡하다고 판단되는 경우 금융위원회가 해당 조치의 이행을 요구할 수 있도록 함(안 제9조의9 신설). 사. 시스템적 중요 금융기관의 거래 상대방이 보유한 적격금융거래에 대한 기한 전 계약 종료권 행사를 일정기간 동안 정지할 수 있도록 하는 권한을 금융위원회에 부여함(안 제14조의9 신설). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2P0C0P6R0Y3T1I7Y2Y4A5R6V1V5K3,2020-12-02,수정가결,유동수
4,2100117,PRC_S2Q0J0T6W0J3C1H8W1Q2S2V7O2I1X5,"강준현,김두관,김병욱,박정,서영석,송옥주,양경숙,어기구,윤관석,이수진,이학영,전재수",자유무역지역의 지정 및 운영에 관한 법률 일부개정법률안," 제안이유 현행법은 자유무역지역의 주요 입주자격을 수출실적으로 규정하고 있으나 수출의 정의를 「관세법」 제2조제2호에 따른 “내국물품을 외국으로 반출하는 것”으로만 한정하고 있어서 수출 완성품에 제공되는 재료, 기재 등을 공급하는 업체는 자유무역지역에 입주자격이 없는 것으로 해석될 수 있다는 지적이 있음. 또한 현행법상 농림축산물을 원재료로 하여 제조·가공된 생산품 중 수출 이외의 생산품이 국내 시장으로 유입되는 경우 국내 농가 및 관련 산업의 피해가 예상된다는 지적이 있음. 이에 수출 완성품에 제공되는 외화획득용 원재료, 기재 등의 공급 업체 등도 자유무역지역에 입주자격이 있음을 명시하고, 「관세법」 등의 규정에 따라 국내외 가격차에 상당한 율로 양허한 농림축산물을 원재료로 하여 제조·가공하는 업종에 대하여는 원재료 및 생산품에 대한 전량 국외 반출 등의 조건으로 자유무역지역 입주를 허용함으로써 국내 농가 및 관련 산업을 보호하는 동시에 고부가 농림축산물 시장에 대한 수출 확대에 기여하고자 하며, 벌칙 등의 관련 조항을 추가ㆍ정비하여 자유무역지역의 활성화를 도모하려는 것임. 주요내용 가. 수출 완성품에 제공되는 외화획득용 원재료, 기재 등의 공급 업체 등도 입주자격에 포함함(안 제10조). 나. 「관세법」 등에 의해 국내외 가격차에 상당한 율로 양허한 농림축산물을 원재료로 하는 물품 등을 입주제한 업종으로 지정하며, 해당 물품을 전량 국외로 반출하는 경우 입주를 허용하되 재고관리 전산시스템, 보세사 채용 등의 체계적인 물품관리시스템을 갖추도록 함(안 제10조의2 신설). 다. 「관세법」 등에 의해 국내외 가격차에 상당한 율로 양허한 농림축산물을 원재료로 하는 입주제한 업종 외의 농림축산물을 원재료로 하는 업종도 재고관리 전산시스템, 보세사 채용 등의 체계적인 물품관리시스템을 갖추도록 함(안 제11조). 라. 입주기업체가 자유무역지역에 반입된 외국물품을 자유무역지역에서 사용 또는 소비하는 경우에는 세관장에게 신고하도록 함(안 제29조의2 신설). 마. 전량 국외반출을 조건으로 반입한 원재료 및 생산품을 자유무역지역에서 관세영역으로 반출한 경우, 자유무역지역에 반입된 외국물품을 사용ㆍ소비신고를 하지 않고 물품을 사용한 경우를 반입정지 사유로 추가함(안 제40조의2). 바. 전량 국외반출을 조건으로 반입한 원재료 및 생산품을 자유무역지역에서 관세영역으로 반출한 자, 자유무역지역에 반입된 외국물품을 사용ㆍ소비신고를 하지 않고 물품을 사용한 자 등을 벌칙 및 과태료의 사유로 추가함(안 제57조 및 제60조부터 제70조까지). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2Q0J0T6W0J3C1H8W1Q2S2V7O2I1X5,2021-05-21,수정가결,최인호
5,2100178,PRC_P2R0N0G6Q0W5N0F9X3I0U3Q6M4A5R7,"김성원,김용판,박덕흠,서일준,송언석,임이자,조경태,조수진,추경호",지역문화진흥법 일부개정법률안," 제안이유 및 주요내용 현행법에 따르면 문화도시 지정을 원하는 지방자치단체가 문화도시 조성계획을 작성하여 문화도시 지정을 신청하면 문화체육관광부장관은 이를 검토하여 조성계획을 승인함. 이에 따라 해당 지방자치단체가 문화도시 조성계획의 승인을 받으면 1년 동안 예비사업을 실시하여야 하고, 문화체육관광부장관은 해당 문화도시 조성계획을 평가한 후 문화도시심의위원회(이하 “심의위원회”라 함)의 심사를 거쳐 해당 지방자치단체를 문화도시로 지정할 수 있음. 그런데 문화체육관광부장관으로부터 문화도시로 지정될 수 있다는 가능성을 인정받아 문화도시 조성계획을 승인받은 지방자치단체가 최종적으로 문화도시로 지정을 받지 못한 경우에는 1년 동안 예비사업을 실시하면서 특색 있는 문화도시를 조성할 수 있는 많은 경험과 노하우를 축적하였음에도 이를 활용할 수 있는 기회가 없음에 따라 해당 지방자치단체의 인력과 예산의 낭비가 초래될 수 있다는 지적이 제기됨. 이에 문화체육관광부장관은 문화도시로 지정을 받지 못한 지방자치단체에 대하여 한 차례에 한정하여 1년의 범위에서 예비사업 기간을 연장하고, 심의위원회의 재심사를 거친 후 해당 지방자치단체를 문화도시로 지정할 수 있도록 함으로써 보다 가치있는 문화도시를 조성하는 데 기여하려는 것임(안 제15조제6항 신설 등). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2R0N0G6Q0W5N0F9X3I0U3Q6M4A5R7,2020-11-19,수정가결,정점식
6,2100187,PRC_K2W0R0H6K0O5U1Y1V5E7M4X0W9F4C3,"고영인,김남국,김승남,김승원,김정호,김주영,김철민,문진석,민홍철,박정,송기헌,양향자,오영환,이동주,이수진,이수진,이용선,이형석,장경태,정태호,조승래,조오섭,한준호,허영,허종식,홍정민",대안교육기관에 관한 법률안," 제안이유 현 공교육 체계 밖에 있는 국내거주 학령기 청소년이 약 35만 명에 이르는 것으로 추정되고 있는 가운데, 그 원인 중 하나로 획일적 교육과정과 대학입시 중심의 경쟁적 교육문화가 지적되고 있음. 학교 밖 청소년의 학습에 대한 국가적 관심의 사각지대 속에서 대안교육기관은 각 개인의 개성과 능력을 고려한 다양한 교육모델을 개발해 학습자와 학부모들의 호응을 얻으면서, 공교육 혁신에도 긍정적인 영향을 미치고 있음. 그러나 대안교육기관의 불안정한 법적 지위로 인해 학생의 학습권과 안전이 제대로 담보되지 못하고 있음. 이에 따라, 대안교육기관의 설치ㆍ운영 등에 대한 법적 근거를 마련함으로써 학생을 보호하고, 모든 국민이 능력과 적성에 따라 평등하게 교육받을 권리를 보장하려는 것임. 주요내용 가. 국가와 지방자치단체는 대안교육 발전을 위해 필요한 시책을 수립ㆍ시행하고, 지원할 수 있도록 함(안 제3조 및 제11조). 나. 대안교육기관을 설립ㆍ운영하려는 자는 대안교육에 필요한 교사(체육장을 포함한다)와 교지 등 대통령령으로 정하는 시설 및 설비 등을 갖추어 교육감에게 등록하도록 함(안 제5조). 다. 교육감에게 등록된 대안교육기관에 재학 중인 「교육기본법」 제8조제1항에 따른 의무교육 대상자에 대해서는 「초ㆍ중등교육법」 제13조에 따른 취학 의무를 유예할 수 있도록 함(안 제10조). 라. 교육감은 대통령령으로 정하는 일정 기준 이상의 요건을 갖추어 등록된 대안교육기관에 대해서는 위원회의 심의를 거쳐 학력이 인정되는 기관으로 지정할 수 있도록 함(안 제12조). 마. 대안교육기관은 학생으로부터 수업료ㆍ입학금 및 운영지원비(이하 “수업료등”이라 한다)를 받을 수 있도록 하고 수업료등의 금액 및 납부에 필요한 사항은 운영위원회의 심의를 거쳐 대안교육기관의 장이 정하도록 함. 이 경우 운영위원회에서는 전년도 대비 물가상승률, 임금인상률, 대안교육기관 여건 등을 고려하여 적정한 수준의 수업료등을 산정하도록 함(안 제17조). 바. 대안교육기관의 장은 제16조제2항제2호에 따라 운영위원회 심의를 거친 예산안 및 결산 내역을 해당 대안교육기관이 운영하는 인터넷 홈페이지에 지체 없이 공개하도록 함(안 제18조). 사. 이 법에 따라 등록된 대안교육기관은 학교의 명칭을 사용할 수 있되, 명칭 앞에 대안교육기관임을 표시하도록 함(안 제22조). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2W0R0H6K0O5U1Y1V5E7M4X0W9F4C3,2020-12-09,수정가결,박찬대
7,2100225,PRC_C2N0U0T6V0Q5E1Z7A2Y7C5Y1I9I7V6,"김민기,김병기,김회재,도종환,박홍근,서영교,서영석,신동근,이정문,조정식",학교보건법 일부개정법률안," 제안이유 및 주요내용 이번 코로나19 발생에 대처하면서 학교 내 감염병 예방을 위하여 감염병 발생국가에서 입국한 학생 및 교직원에 대한 등교중지 필요성이 제기되고 있음. 현행법은 학교의 장이 의사의 진단 결과 감염병에 감염되었거나 감염된 것으로 의심되거나 감염될 우려가 있는 학생 및 교직원에 대하여 등교중지를 시킬 수 있도록 규정하고 있으나, 환자 또는 감염 의심자 단위에서의 조치일 뿐 잠복기 상태로 검역감염병 발생지역으로부터 입국하거나 이 지역을 경유하여 입국하는 학생 및 교직원이 학교에 복귀하여 발병 후 감염병을 전파시킬 위험성을 차단하는데 한계가 있음. 이에 「재난 및 안전관리 기본법」 제38조제2항에 따른 주의 이상의 위기경보가 발령된 경우, 교육부장관이 보건복지부장관과 협의하여 일정 기준에 해당하는 학생 및 교직원에게 등교중지 명령을 할 수 있도록 하고, 등교중지 대상 학생의 확인을 위하여 개인정보를 처리할 수 있는 근거조항을 마련하는 한편, 감염병 예방을 위해 휴업 또는 휴교할 수 있도록 근거조항을 마련하고자 함(안 제2조제3호, 제8조제2항 및 제8조의2 신설, 제14조). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2N0U0T6V0Q5E1Z7A2Y7C5Y1I9I7V6,2020-09-24,수정가결,조승래
8,2100266,PRC_H2Z0T0X6L0E8W1K5F2P1N3M6Q9P8D5,"기동민,김병기,김영주,김원이,김철민,민홍철,박정,안민석,이상헌,이원택,이정문,임호선,정정순,조승래",무형문화재 보전 및 진흥에 관한 법률 일부개정법률안," 제안이유 및 주요내용 현행법은 유네스코의 「무형문화유산의 보호를 위한 협약」 이행을 장려하고, 아시아ㆍ태평양 지역 등의 유네스코 회원국의 무형문화유산 보호활동 등을 지원하기 위하여 문화재청 산하에 유네스코 아시아ㆍ태평양 무형문화유산 국제정보네트워킹센터를 설립하여 운영하도록 규정하고 있음. 그런데 법률에 기관의 약칭이 “아ㆍ태무형문화유산 국제정보네트워킹센터”로 유네스코 카테고리 2기구의 의미를 담지 못하고 있어 “유네스코 아태무형유산센터”로 변경함. 또한 기관의 사업내용이 명시되지 않고 기관설립 목적인 아시아 태평양 지역의 유네스코 회원국의 무형문화유산보호 활동 등을 지원하는 것으로만 포괄적으로 되어 있어 세부 사업내용을 알 수 있도록 근거 규정을 신설함. 아울러 아시아 태평양 지역의 무형문화유산 보호와 활동을 지원하기 위해서는 국고보조금 이외 다양한 재원 확보를 통해 사업을 진행할 필요가 있음. 특히 대한민국과 유네스코가 체결한 협정문에 의하여 아시아 태평양 지역 회원국의 자생적이고 지속적인 무형문화유산 정보공유 체계를 구축하고 활용하기 위해서는 IT 등 관련 기업의 현물 지원과 기부금과 같은 재원이 매우 절실한 상황임. 그런데, 현행법에는 유네스코 아시아ㆍ태평양 무형문화유산 국제정보네트워킹센터의 기부금 접수에 관한 근거 규정이 없고, 「기부금품의 모집 및 사용에 관한 법률」에 따르면 국가·지방자치단체 및 산하기관은 별도의 근거 법률이 없이 기부금 접수를 할 수 없게 되어 있어 기부금 접수 근거를 명확히 할 필요성이 있음. 따라서 현행법에 유네스코 아시아ㆍ태평양 무형문화유산 국제정보네트워킹센터의 제반 사업을 위하여 기부금품을 받을 수 있도록 근거 규정을 신설하려는 것임(안 제47조제1항부터 제6항까지 및 제47조제7부터 제9항까지 신설). ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2Z0T0X6L0E8W1K5F2P1N3M6Q9P8D5,2020-11-19,수정가결,도종환
9,2100267,PRC_Q2D0F0N6N0H8V1Z5K2S2G5N0Y8X0Y1,"기동민,김병기,김영주,김원이,김철민,민홍철,박정,안민석,이상헌,이원택,이정문,임호선,정정순",매장문화재 보호 및 조사에 관한 법률 일부개정법률안," 제안이유 및 주요내용 학술조사 또는 공공목적 등에 필요한 경우 고도지역, 수중문화재 분포지역, 폐사지 등 역사적 가치가 높은 지역의 매장문화재 유존지역은 국가에 의한 매장문화재 발굴을 할 수 있도록 하고 있으나, 매장문화재의 발굴조사 과정 중에 학술적 가치가 매우 높은 매장문화재가 출토되는 경우에는 국가에 의한 발굴조사를 시행할 수 없어 매장문화재 보호라는 실질적인 공공목적을 달성하기 어려운 상황임. 따라서 매장문화재의 발굴조사 과정에서 학술적, 역사적 가치가 높은 매장문화재가 발견되는 경우에도 국가에 의한 발굴조사를 실시할 수 있도록 하는 등 국가에 의한 매장문화재 발굴의 대상을 확대하고자 하는 것임. 또한, 국가에 의한 매장문화재 발굴의 공공적 목적을 달성하기 위하여 조사에 참여하는 기관을 문화재청 소속기관, 지방자치단체에서 설립한 조사기관, 국립박물관, 공립박물관, 대학박물관 등 공공목적에 부합하는 조사기관으로 명확하게 하고자 함. 제14조에 따른 매장문화재 보존조치 이후 개발사업의 전부를 시행 또는 완료하지 못하게 된 경우에는 국가 또는 지방자치단체가 해당 토지를 매입할 수 있음. 그러나 보존유적 토지만 매입할 수 있도록 하고 있고 토지의 정착물, 기타 권리 등에 관한 보상은 이루어지지 않고 있어 사유 재산권 침해를 적정하게 보전하기에 부족하다는 지적이 있는 바, 공익사업을 위한 토지 수용의 경우가 같이 매장문화재 보존·관리를 위한 공익사업의 효율적 수행과 사유 재산권의 적정한 보전을 위해 토지 매입 이외에 손실 보상에 관해서도 규정할 필요가 있음. 또한 제26조에 따라 매입한 보존유적 토지의 지속적이고 체계적인 보존 및 관리, 활용을 위해서는 관리에 필요한 비용을 국가에서 지원할 필요가 있음(안 제13조 및 제26조). 참고사항 이 법률안은 법령ㆍ예산 및 기금운용계획 등에 따라 이미 비용이 발생하고 있는 경우에 대한 법적 근거를 마련하는 것으로서 추가적인 재정수반 요인을 포함하고 있지 아니함. ",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2D0F0N6N0H8V1Z5K2S2G5N0Y8X0Y1,2020-11-19,수정가결,도종환
