index,peoplepower21_url,name,experience,블로그,트위터,페이스북,party,소속위원회,지역,성별,대수,당선횟수,당선방법,MEMBER_NO
강기윤+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=775,강기윤,"19대 국회의원,미래통합당 경남도당 민생위원회 위원장",https://blog.naver.com/ggotop,Kangkiyoun,https://www.facebook.com/ggotop,국민의힘,보건복지위원회,경남 창원시성산구,남,제21대,재선,지역구,2100000000001
강대식+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1070,강대식,"동구청장,6대 동구의회(후반기)의장",https://blog.naver.com/mpnib2018,,https://www.facebook.com/kangds88,국민의힘,국방위원회,대구 동구을,남,제21대,초선,지역구,2100000000002
강득구+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1099,강득구,"경기도연정부지사,경기도의회 의장",https://blog.naver.com/dulipapa,deukgu_kang,https://www.facebook.com/dulipapa2,더불어민주당,교육위원회,경기 안양시만안구,남,제21대,초선,지역구,2100000000003
강민국+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1146,강민국,"경상남도 정무보좌역,제10·11대 경상남도의회의원",,Kor_minkuk,https://www.facebook.com/minkukkang,국민의힘,정무위원회,경남 진주시을,남,제21대,초선,지역구,2100000000004
강병원+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=889,강병원,"더불어민주당 서울은평구을 국회의원,서울대학교 총학생회장",http://blog.naver.com/kangbw89,kbw89,https://www.facebook.com/kbw89,더불어민주당,보건복지위원회,서울 은평구을,남,제21대,재선,지역구,2100000000006
강선우+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1050,강선우,"미국 사우스다코타주립대 교수,더불어민주당 상근부대변인",http://blog.naver.com/gangseo-kap,kangsunwoo_tv,https://www.facebook.com/kangsunwooo,더불어민주당,보건복지위원회,서울 강서구갑,여,제21대,초선,지역구,2100000000007
강준현+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1093,강준현,"더불어민주당 정책위 부의장,세종특별자치시 3대 정무부시장",https://blog.naver.com/withusone2020,,https://www.facebook.com/junhyeon.gang,더불어민주당,국토교통위원회,세종특별자치시을,남,제21대,초선,지역구,2100000000009
강훈식+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1005,강훈식,"제20대 국회의원,더불어민주당 수석대변인",http://blog.naver.com/kanghunsik,Tigerhoony,https://www.facebook.com/gohoonsik,더불어민주당,산업통상자원중소벤처기업위원회,충남 아산시을,남,제21대,재선,지역구,2100000000010
고민정+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1044,고민정,"문재인 정부 청와대 대변인,KBS 아나운서",https://blog.naver.com/kominjung21,minjung_dal,https://www.facebook.com/minjung.ko.184,더불어민주당,보건복지위원회,서울 광진구을,여,제21대,초선,지역구,2100000000011
고영인+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1105,고영인,"더불어민주당 안산단원갑 지역위원장,신안산대학교 산업경영과 초빙교수",https://blog.naver.com/kyi4853,,https://www.facebook.com/koyoungin4853,더불어민주당,보건복지위원회,경기 안산시단원구갑,남,제21대,초선,지역구,2100000000012
고용진+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=887,고용진,"노무현대통령 비서실 행정관,노원갑 국회의원",http://blog.naver.com/kohyj64,yongjin_koh,https://www.facebook.com/yongjin.koh,더불어민주당,기획재정위원회,서울 노원구갑,남,제21대,재선,지역구,2100000000013
구자근+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1140,구자근,"前 (주)태웅 사장/CEO,제9·10대 경상북도의회 의원",https://blog.naver.com/can929292,,https://www.facebook.com/can929292,국민의힘,산업통상자원중소벤처기업위원회,경북 구미시갑,남,제21대,초선,지역구,2100000000015
권명호+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1090,권명호,"제5대 울산광역시의회 후반기부의장,제7대 울산광역시 동구청장",https://blog.naver.com/kmh330575,,https://www.facebook.com/kmh365,국민의힘,산업통상자원중소벤처기업위원회,울산 동구,남,제21대,초선,지역구,2100000000016
권성동+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=684,권성동,"국회법제사법위원장,새누리당 사무총장",http://www.ksdd.net/main/main.php,ksdd22,https://www.facebook.com/ksdd22,국민의힘,법제사법위원회,강원 강릉시,남,제21대,4선,지역구,2100000000017
권영세+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=15,권영세,"주중국대한민국 대사,제16ㆍ17ㆍ18대 국회의원",https://blog.naver.com/yskys2020,yskys2020,https://www.facebook.com/yskys2020,국민의힘,환경노동위원회,서울 용산구,남,제21대,4선,지역구,2100000000018
권칠승+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=996,권칠승,"노무현 대통령 청와대 행정관,국회의원(화성시병)",http://blog.naver.com/k7wins,k7win_,https://www.facebook.com/k7win,더불어민주당,농림축산식품해양수산위원회,경기 화성시병,남,제21대,재선,지역구,2100000000021
기동민+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=885,기동민,"더불어민주당 서울 성북을 국회의원,서울시 정무부시장",http://blog.naver.com/gidongmin,,https://www.facebook.com/dongmin.gi,더불어민주당,국방위원회,서울 성북구을,남,제21대,재선,지역구,2100000000022
김경협+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=786,김경협,"제19, 20대 국회의원,노무현정부 청와대 비서관",http://ggh000.blog.me/,kimghkr,https://www.facebook.com/kimghkr,더불어민주당,외교통일위원회,경기 부천시갑,남,제21대,3선,지역구,2100000000024
김교흥+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=328,김교흥,"인천광역시 정무부시장,국회사무총장(장관급)",https://blog.naver.com/kimkh4u,kimkyoheung,https://www.facebook.com/kimkyoheung,더불어민주당,국토교통위원회,인천 서구갑,남,제21대,재선,지역구,2100000000025
김기현+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=330,김기현,"제17,18,19대 국회의원,제6대 울산광역시장",https://story.kakao.com/eutface/,,https://www.facebook.com/eutface,국민의힘,외교통일위원회,울산 남구을,남,제21대,4선,지역구,2100000000026
김남국+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1106,김남국,"참여연대 민생희망본부 실행위원,더불어민주당 부대변인",https://blog.naver.com/lawmaker12,,https://www.facebook.com/lawmaker2020,더불어민주당,법제사법위원회,경기 안산시단원구을,남,제21대,초선,지역구,2100000000027
김도읍+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=726,김도읍,"국회의원,부산지검 공판부장 외사부장 검사",http://blog.naver.com/ldek3525,ldek3525,https://www.facebook.com/ldek3525,국민의힘,행정안전위원회,부산 북구강서구을,남,제21대,3선,지역구,2100000000028
김두관+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=995,김두관,"제5대 행정자치부 장관,제20대 국회의원",http://blog.naver.com/kikdok,dookwan,https://www.facebook.com/KimDookwan,더불어민주당,기획재정위원회,경남 양산시을,남,제21대,재선,지역구,2100000000029
김미애+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1065,김미애,"부산지방변호사회 수석부회장,해운대구청 공직자윤리위원회 위원장",https://blog.naver.com/015law,,https://www.facebook.com/lawyerkimmiae,국민의힘,보건복지위원회,부산 해운대구을,여,제21대,초선,지역구,2100000000030
김민기+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=800,김민기,"제19·20대 용인시을 국회의원,국회 정보위원장",http://www.kimminki.co.kr/,kimminki84,https://www.facebook.com/kminki84,더불어민주당,국방위원회,경기 용인시을,남,제21대,3선,지역구,2100000000031
김민석+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=276,김민석,"제19대 문재인 대통령후보 종합상황본부장,제15·16대 국회의원",https://blog.naver.com/newmskim2030,ms2030,https://www.facebook.com/minseok.kim.376043,더불어민주당,보건복지위원회,서울 영등포구을,남,제21대,3선,지역구,2100000000032
김민철+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1098,김민철,"노무현정부 청와대행정관,더불어민주당 의정부(을) 지역위원장",https://blog.naver.com/kmc8952,kmc89521,https://www.facebook.com/profile.php?id=100000957036249,더불어민주당,행정안전위원회,경기 의정부시을,남,제21대,초선,지역구,2100000000033
김병기+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=895,김병기,"국가정보원 25년근무,문재인대통령 국정기획자문위원회 위원,",,thekimweapon,https://www.facebook.com/the.kim.weapon,더불어민주당,국방위원회,서울 동작구갑,남,제21대,재선,지역구,2100000000034
